# HaMachberet word list.
#
# One word per line, pipe separated:
#   n. | hebrew with nikud | transliteration | english | pos[.gender] | themes | extra
#
# pos:     noun verb adj phrase connector grammar number other
# gender:  .m .f .pl .mf   (nouns and numbers only; a noun must have one)
# themes:  comma separated, from the list in tools/build-vocab.py
# extra:   key=value pairs joined by ;   known keys: root, binyan, pl
#
# Hebrew is written in full spelling with nikud, so that taking the points
# off leaves exactly what a learner types: שׁוּלְחָן, not שֻׁלְחָן.
# Adjectives are masculine / feminine. Verbs are the infinitive.
#
# Build with:  python3 tools/build-vocab.py

# ---------------------------------------------------------------- greetings
1. | שָׁלוֹם | shalom | hello, goodbye, peace | noun.m | greetings,general |
97. | לִקְרוֹא | likro | to read; to call | verb | school | root=ק-ר-א;binyan=paal
98. | לְהָבִין | lehavin | to understand | verb | school | root=ב-י-ן;binyan=hifil
99. | לְהַסְבִּיר | lehasbir | to explain | verb | school | root=ס-ב-ר;binyan=hifil
100. | לִשְׁאוֹל | lish'ol | to ask | verb | school | root=ש-א-ל;binyan=paal
101. | לַעֲנוֹת | la'anot | to answer | verb | school | root=ע-נ-ה;binyan=paal
102. | לַחְזוֹר | lakhzor | to return; to repeat | verb | school | root=ח-ז-ר;binyan=paal
103. | לְתַרְגֵּם | letargem | to translate | verb | school | root=ת-ר-ג-ם;binyan=piel
104. | לִזְכּוֹר | lizkor | to remember | verb | school | root=ז-כ-ר;binyan=paal
105. | לִשְׁכּוֹחַ | lishkoakh | to forget | verb | school | root=ש-כ-ח;binyan=paal
106. | עִבְרִית | ivrit | Hebrew | noun.f | school,israel |
107. | אַנְגְּלִית | anglit | English | noun.f | school |
108. | שָׂפָה | safa | language; lip | noun.f | school | pl=שָׂפוֹת
109. | אוֹת | ot | letter (of the alphabet) | noun.f | school | pl=אוֹתִיּוֹת
110. | נִקּוּד | nikud | the vowel points | noun.m | school,grammar |
111. | שׁוֹרֶשׁ | shoresh | root (of a word) | noun.m | school,grammar | pl=שׁוֹרָשִׁים
112. | בִּנְיָין | binyan | verb pattern; building | noun.m | school,grammar | pl=בִּנְיָינִים
113. | דִּקְדּוּק | dikduk | grammar | noun.m | school,grammar |
114. | תַּרְגּוּם | targum | translation | noun.m | school |
115. | מִלּוֹן | milon | dictionary | noun.m | school |

# ---------------------------------------------------------------- people and family
116. | אִישׁ | ish | man, person | noun.m | people | pl=אֲנָשִׁים
117. | אִישָּׁה | isha | woman; wife | noun.f | people,family | pl=נָשִׁים
118. | יֶלֶד / יַלְדָּה | yeled / yalda | child, boy / girl | noun.m | people,family | pl=יְלָדִים
119. | בָּחוּר / בַּחוּרָה | bakhur / bakhura | young man / young woman | noun.m | people |
120. | אָדָם | adam | a person, a human being | noun.m | people | pl=בְּנֵי אָדָם
121. | חָבֵר / חֲבֵרָה | khaver / khavera | friend; boyfriend / girlfriend | noun.m | people,feelings |
122. | מִשְׁפָּחָה | mishpakha | family | noun.f | family |
123. | אַבָּא | aba | dad, father | noun.m | family |
124. | אִמָּא | ima | mum, mother | noun.f | family |
125. | הוֹרֶה | hore | parent | noun.m | family | pl=הוֹרִים
126. | בֵּן | ben | son; a member of | noun.m | family | pl=בָּנִים
127. | בַּת | bat | daughter | noun.f | family | pl=בָּנוֹת
128. | אָח | akh | brother | noun.m | family | pl=אַחִים
129. | אָחוֹת | akhot | sister; nurse | noun.f | family,health | pl=אֲחָיוֹת
130. | סַבָּא | saba | grandfather | noun.m | family |
131. | סַבְתָּא | savta | grandmother | noun.f | family |
132. | נֶכֶד / נֶכְדָּה | nekhed / nekhda | grandson / granddaughter | noun.m | family |
133. | דּוֹד / דּוֹדָה | dod / doda | uncle / aunt | noun.m | family |
134. | בֶּן דּוֹד / בַּת דּוֹדָה | ben dod / bat doda | cousin | noun.m | family |
135. | בַּעַל | ba'al | husband; owner | noun.m | family | pl=בְּעָלִים
136. | תִּינוֹק / תִּינוֹקֶת | tinok / tinoket | baby | noun.m | family,people |
137. | שָׁכֵן / שְׁכֵנָה | shakhen / shkhena | neighbour | noun.m | people,city |
138. | אוֹרֵחַ / אוֹרַחַת | oreakh / orakhat | guest | noun.m | people,home |
139. | זָקֵן / זְקֵנָה | zaken / zkena | old (of a person) | adj | people |
140. | צָעִיר / צְעִירָה | tza'ir / tze'ira | young | adj | people |
141. | נָשׂוּי / נְשׂוּאָה | nasui / nesu'a | married | adj | family |
142. | רַוָּק / רַוָּקָה | ravak / ravaka | single, unmarried | adj | family |

# ---------------------------------------------------------------- home
143. | בַּיִת | bayit | house, home | noun.m | home | pl=בָּתִּים
144. | דִּירָה | dira | flat, apartment | noun.f | home |
145. | חֶדֶר | kheder | room | noun.m | home | pl=חֲדָרִים
146. | מִטְבָּח | mitbakh | kitchen | noun.m | home |
147. | חֲדַר אַמְבַּטְיָה | khadar ambatya | bathroom | noun.m | home |
148. | שֵׁירוּתִים | sherutim | toilet; services | noun.pl | home |
149. | סָלוֹן | salon | living room | noun.m | home |
150. | מִרְפֶּסֶת | mirpeset | balcony | noun.f | home |
151. | דֶּלֶת | delet | door | noun.f | home | pl=דְּלָתוֹת
152. | חַלּוֹן | khalon | window | noun.m | home | pl=חַלּוֹנוֹת
153. | קִיר | kir | wall | noun.m | home | pl=קִירוֹת
154. | רִצְפָּה | ritzpa | floor | noun.f | home |
155. | תִּקְרָה | tikra | ceiling | noun.f | home |
156. | מַדְרֵגוֹת | madregot | stairs | noun.pl | home |
157. | שׁוּלְחָן | shulkhan | table | noun.m | home | pl=שׁוּלְחָנוֹת
158. | כִּיסֵּא | kise | chair | noun.m | home | pl=כִּיסְאוֹת
159. | מִיטָּה | mita | bed | noun.f | home |
160. | אָרוֹן | aron | cupboard, wardrobe | noun.m | home | pl=אֲרוֹנוֹת
161. | מַדָּף | madaf | shelf | noun.m | home |
162. | מְנוֹרָה | menora | lamp | noun.f | home |
163. | מַפְתֵּחַ | mafteakh | key | noun.m | home | pl=מַפְתְּחוֹת
164. | מַרְאָה | mar'a | mirror | noun.f | home |
165. | שָׁטִיחַ | shatiakh | carpet, rug | noun.m | home |
166. | מְקָרֵר | mekarer | fridge | noun.m | home,food |
167. | תַּנּוּר | tanur | oven | noun.m | home,food |
168. | מְכוֹנַת כְּבִיסָה | mekhonat kvisa | washing machine | noun.f | home |
169. | גִּינָּה | gina | garden | noun.f | home,nature |
170. | לָגוּר | lagur | to live, to reside | verb | home | root=ג-ו-ר;binyan=paal
171. | לִפְתּוֹחַ | liftoakh | to open | verb | home,general | root=פ-ת-ח;binyan=paal
172. | לִסְגּוֹר | lisgor | to close | verb | home,general | root=ס-ג-ר;binyan=paal
173. | לְנַקּוֹת | lenakot | to clean | verb | home | root=נ-ק-ה;binyan=piel
174. | לְסַדֵּר | lesader | to tidy, to arrange | verb | home | root=ס-ד-ר;binyan=piel

# ---------------------------------------------------------------- food and drink
175. | אוֹכֶל | okhel | food | noun.m | food |
176. | לֶחֶם | lekhem | bread | noun.m | food |
177. | פִּיתָּה | pita | pita | noun.f | food,israel |
178. | חָלָב | khalav | milk | noun.m | food |
179. | גְּבִינָה | gvina | cheese | noun.f | food |
180. | חֶמְאָה | khem'a | butter | noun.f | food |
181. | בֵּיצָה | beitza | egg | noun.f | food | pl=בֵּיצִים
182. | בָּשָׂר | basar | meat | noun.m | food |
183. | עוֹף | of | chicken; bird | noun.m | food,animals | pl=עוֹפוֹת
184. | דָּג | dag | fish | noun.m | food,animals | pl=דָּגִים
185. | אוֹרֶז | orez | rice | noun.m | food |
186. | פֵּירוֹת | perot | fruit | noun.pl | food |
187. | יְרָקוֹת | yerakot | vegetables | noun.pl | food |
188. | תַּפּוּחַ | tapuakh | apple | noun.m | food | pl=תַּפּוּחִים
189. | תַּפּוּז | tapuz | orange | noun.m | food |
190. | בַּנָנָה | banana | banana | noun.f | food |
191. | עַגְבָנִיָּיה | agvaniya | tomato | noun.f | food |
192. | מְלָפְפוֹן | melafefon | cucumber | noun.m | food |
193. | בָּצָל | batzal | onion | noun.m | food |
194. | תַּפּוּחַ אֲדָמָה | tapuakh adama | potato | noun.m | food |
195. | סָלָט | salat | salad | noun.m | food |
196. | חוּמּוּס | khumus | hummus | noun.m | food,israel |
197. | מָרָק | marak | soup | noun.m | food |
198. | עוּגָה | uga | cake | noun.f | food |
199. | עוּגִיָּיה | ugiya | biscuit, cookie | noun.f | food |
200. | שׁוֹקוֹלָד | shokolad | chocolate | noun.m | food |
201. | סוּכָּר | sukar | sugar | noun.m | food |
202. | מֶלַח | melakh | salt | noun.m | food |
203. | שֶׁמֶן | shemen | oil | noun.m | food |
204. | מַיִם | mayim | water | noun.pl | food,nature |
205. | קָפֶה | kafe | coffee | noun.m | food |
206. | תֵּה | te | tea | noun.m | food |
207. | מִיץ | mitz | juice | noun.m | food |
208. | יַיִן | yayin | wine | noun.m | food |
209. | בִּירָה | bira | beer | noun.f | food |
210. | אֲרוּחָה | arukha | meal | noun.f | food |
211. | אֲרוּחַת בּוֹקֶר | arukhat boker | breakfast | noun.f | food |
212. | אֲרוּחַת צָהֳרַיִים | arukhat tzohorayim | lunch | noun.f | food |
213. | אֲרוּחַת עֶרֶב | arukhat erev | dinner | noun.f | food |
214. | מִסְעָדָה | mis'ada | restaurant | noun.f | food,city |
215. | תַּפְרִיט | tafrit | menu | noun.m | food |
216. | חֶשְׁבּוֹן | kheshbon | bill; account; arithmetic | noun.m | food,work |
217. | מֶלְצַר / מֶלְצָרִית | meltzar / meltzarit | waiter / waitress | noun.m | food,work |
218. | צַלַּחַת | tzalakhat | plate | noun.f | food,home |
219. | כּוֹס | kos | glass, cup | noun.f | food,home |
220. | מַזְלֵג | mazleg | fork | noun.m | food,home |
221. | סַכִּין | sakin | knife | noun.f | food,home |
222. | כַּף | kaf | spoon; palm of the hand | noun.f | food,home,body |
223. | לֶאֱכוֹל | le'ekhol | to eat | verb | food | root=א-כ-ל;binyan=paal
224. | לִשְׁתּוֹת | lishtot | to drink | verb | food | root=ש-ת-ה;binyan=paal
225. | לְבַשֵּׁל | levashel | to cook | verb | food | root=ב-ש-ל;binyan=piel
226. | לְהַזְמִין | lehazmin | to order; to invite | verb | food,general | root=ז-מ-ן;binyan=hifil
227. | טָעִים / טְעִימָה | ta'im / te'ima | tasty | adj | food |
228. | רָעֵב / רְעֵבָה | ra'ev / re'eva | hungry | adj | food,feelings |
229. | צָמֵא / צְמֵאָה | tzame / tzme'a | thirsty | adj | food,feelings |
230. | חַם / חַמָּה | kham / khama | hot, warm | adj | food,nature |
231. | קַר / קָרָה | kar / kara | cold | adj | food,nature |
232. | מָתוֹק / מְתוּקָה | matok / metuka | sweet | adj | food |
233. | מָלוּחַ / מְלוּחָה | maluakh / melukha | salty | adj | food |
234. | חָרִיף / חֲרִיפָה | kharif / kharifa | spicy, sharp | adj | food |

# ---------------------------------------------------------------- the body and health
235. | גּוּף | guf | body | noun.m | body |
236. | רֹאשׁ | rosh | head | noun.m | body | pl=רָאשִׁים
237. | פָּנִים | panim | face | noun.pl | body |
238. | עַיִן | ayin | eye; spring of water | noun.f | body | pl=עֵינַיִים
239. | אוֹזֶן | ozen | ear | noun.f | body | pl=אוֹזְנַיִים
240. | אַף | af | nose | noun.m | body |
241. | פֶּה | pe | mouth | noun.m | body |
242. | שֵׁן | shen | tooth | noun.f | body | pl=שִׁינַּיִים
243. | שֵׂיעָר | se'ar | hair | noun.m | body |
244. | יָד | yad | hand, arm | noun.f | body | pl=יָדַיִים
245. | רֶגֶל | regel | leg, foot | noun.f | body | pl=רַגְלַיִים
246. | אֶצְבַּע | etzba | finger, toe | noun.f | body | pl=אֶצְבָּעוֹת
247. | גַּב | gav | back | noun.m | body |
248. | בֶּטֶן | beten | stomach, belly | noun.f | body |
249. | לֵב | lev | heart | noun.m | body,feelings | pl=לִיבּוֹת
250. | דָּם | dam | blood | noun.m | body,health |
251. | עוֹר | or | skin; leather | noun.m | body |
252. | בָּרִיא / בְּרִיאָה | bari / bri'a | healthy | adj | health |
253. | חוֹלֶה / חוֹלָה | khole / khola | ill, sick; a patient | adj | health |
254. | כּוֹאֵב | ko'ev | it hurts | verb | health | root=כ-א-ב;binyan=paal
255. | רוֹפֵא / רוֹפְאָה | rofe / rof'a | doctor | noun.m | health,work |
256. | בֵּית חוֹלִים | beit kholim | hospital | noun.m | health,city |
257. | קוּפַּת חוֹלִים | kupat kholim | health clinic | noun.f | health,israel |
258. | מַחֲלָה | makhala | illness | noun.f | health |
259. | תְּרוּפָה | trufa | medicine | noun.f | health |
260. | כְּאֵב | ke'ev | pain, ache | noun.m | health |
261. | חוֹם | khom | fever; heat | noun.m | health |
262. | לְהַרְגִּישׁ | lehargish | to feel | verb | health,feelings | root=ר-ג-ש;binyan=hifil
263. | לָנוּחַ | lanuakh | to rest | verb | health | root=נ-ו-ח;binyan=paal
264. | לִישׁוֹן | lishon | to sleep | verb | health,home | root=י-ש-ן;binyan=paal
265. | לָקוּם | lakum | to get up, to stand up | verb | health,home | root=ק-ו-ם;binyan=paal

# ---------------------------------------------------------------- numbers
266. | אֶחָד / אַחַת | ekhad / akhat | one | number.mf | numbers |
267. | שְׁנַיִים / שְׁתַּיִים | shnayim / shtayim | two | number.mf | numbers |
268. | שְׁלוֹשָׁה / שָׁלוֹשׁ | shlosha / shalosh | three | number.mf | numbers |
269. | אַרְבָּעָה / אַרְבַּע | arba'a / arba | four | number.mf | numbers |
270. | חֲמִישָּׁה / חָמֵשׁ | khamisha / khamesh | five | number.mf | numbers |
271. | שִׁישָּׁה / שֵׁשׁ | shisha / shesh | six | number.mf | numbers |
272. | שִׁבְעָה / שֶׁבַע | shiv'a / sheva | seven | number.mf | numbers |
273. | שְׁמוֹנָה / שְׁמוֹנֶה | shmona / shmone | eight | number.mf | numbers |
274. | תִּשְׁעָה / תֵּשַׁע | tish'a / tesha | nine | number.mf | numbers |
275. | עֲשָׂרָה / עֶשֶׂר | asara / eser | ten | number.mf | numbers |
276. | עֶשְׂרִים | esrim | twenty | number.mf | numbers |
277. | שְׁלוֹשִׁים | shloshim | thirty | number.mf | numbers |
278. | אַרְבָּעִים | arba'im | forty | number.mf | numbers |
279. | חֲמִישִּׁים | khamishim | fifty | number.mf | numbers |
280. | מֵאָה | me'a | a hundred | number.f | numbers |
281. | אֶלֶף | elef | a thousand | number.m | numbers |
282. | מִיסְפָּר | mispar | number | noun.m | numbers |
283. | אֶפֶס | efes | zero | number.m | numbers |
284. | חֵצִי | khetzi | half | noun.m | numbers |
285. | רֶבַע | reva | quarter | noun.m | numbers |
286. | רִאשׁוֹן / רִאשׁוֹנָה | rishon / rishona | first | adj | numbers,time |
287. | שֵׁנִי / שְׁנִיָּיה | sheni / shniya | second | adj | numbers,time |
288. | שְׁלִישִׁי / שְׁלִישִׁית | shlishi / shlishit | third | adj | numbers,time |
289. | אַחֲרוֹן / אַחֲרוֹנָה | akharon / akharona | last | adj | numbers,time |

# ---------------------------------------------------------------- time
290. | זְמַן | zman | time | noun.m | time | pl=זְמַנִּים
291. | שָׁעָה | sha'a | hour; o'clock | noun.f | time | pl=שָׁעוֹת
292. | דַּקָּה | daka | minute | noun.f | time |
293. | שְׁנִיָּיה | shniya | second (of time) | noun.f | time |
294. | יוֹם | yom | day | noun.m | time | pl=יָמִים
295. | שָׁבוּעַ | shavua | week | noun.m | time | pl=שָׁבוּעוֹת
296. | חוֹדֶשׁ | khodesh | month | noun.m | time | pl=חוֹדָשִׁים
297. | שָׁנָה | shana | year | noun.f | time | pl=שָׁנִים
298. | בּוֹקֶר | boker | morning | noun.m | time |
299. | צָהֳרַיִים | tzohorayim | noon, midday | noun.pl | time |
300. | אַחַר הַצָּהֳרַיִים | akhar hatzohorayim | afternoon | noun.m | time |
301. | עֶרֶב | erev | evening | noun.m | time |
302. | לַיְלָה | layla | night | noun.m | time | pl=לֵילוֹת
303. | הַיּוֹם | hayom | today | grammar | time |
304. | מָחָר | makhar | tomorrow | grammar | time |
305. | אֶתְמוֹל | etmol | yesterday | grammar | time |
306. | עַכְשָׁיו | akhshav | now | grammar | time |
307. | אַחַר כָּךְ | akhar kakh | afterwards, then | phrase | time,connectors |
308. | מוּקְדָּם | mukdam | early | grammar | time |
309. | מְאוּחָר | me'ukhar | late | grammar | time |
310. | יוֹם רִאשׁוֹן | yom rishon | Sunday | noun.m | time,israel |
311. | יוֹם שֵׁנִי | yom sheni | Monday | noun.m | time,israel |
312. | יוֹם שְׁלִישִׁי | yom shlishi | Tuesday | noun.m | time,israel |
313. | יוֹם רְבִיעִי | yom revi'i | Wednesday | noun.m | time,israel |
314. | יוֹם חֲמִישִׁי | yom khamishi | Thursday | noun.m | time,israel |
315. | יוֹם שִׁישִּׁי | yom shishi | Friday | noun.m | time,israel |
316. | שַׁבָּת | shabat | Saturday, the sabbath | noun.f | time,israel,religion |
317. | סוֹף שָׁבוּעַ | sof shavua | weekend | noun.m | time |
318. | חַג | khag | holiday, festival | noun.m | time,israel,religion | pl=חַגִּים
319. | יוֹם הוּלֶדֶת | yom huledet | birthday | noun.m | time |
320. | תַּאֲרִיךְ | ta'arikh | date | noun.m | time |
321. | חוֹפֶשׁ | khofesh | holiday, time off; freedom | noun.m | time,travel |
322. | לְחַכּוֹת | lekhakot | to wait | verb | time | root=ח-כ-ה;binyan=piel
323. | לְהַתְחִיל | lehatkhil | to start, to begin | verb | time,general | root=ת-ח-ל;binyan=hifil
324. | לִגְמוֹר | ligmor | to finish | verb | time,general | root=ג-מ-ר;binyan=paal
325. | לְאַחֵר | le'akher | to be late | verb | time | root=א-ח-ר;binyan=piel

# ---------------------------------------------------------------- the city and getting about
326. | עִיר | ir | city, town | noun.f | city | pl=עָרִים
327. | רְחוֹב | rekhov | street | noun.m | city | pl=רְחוֹבוֹת
328. | כְּתוֹבֶת | ktovet | address | noun.f | city |
329. | כִּיכָּר | kikar | square; loaf | noun.f | city |
330. | חֲנוּת | khanut | shop | noun.f | city | pl=חֲנוּיוֹת
331. | שׁוּק | shuk | market | noun.m | city,israel |
332. | סוּפֶּרְמַרְקֶט | supermarket | supermarket | noun.m | city,food |
333. | בַּנְק | bank | bank | noun.m | city,work |
334. | דּוֹאַר | do'ar | post, post office | noun.m | city |
335. | בֵּית קָפֶה | beit kafe | cafe | noun.m | city,food |
336. | מוּזֵיאוֹן | muze'on | museum | noun.m | city |
337. | סִפְרִיָּיה | sifriya | library | noun.f | city,school |
338. | גַּן | gan | garden; kindergarten | noun.m | city,nature | pl=גַּנִּים
339. | בֵּית כְּנֶסֶת | beit knesset | synagogue | noun.m | city,religion |
340. | תַּחֲנָה | takhana | station, stop | noun.f | city,travel |
341. | אוֹטוֹבּוּס | otobus | bus | noun.m | travel,city |
342. | רַכֶּבֶת | rakevet | train | noun.f | travel |
343. | מוֹנִית | monit | taxi | noun.f | travel,city |
344. | מְכוֹנִית | mekhonit | car | noun.f | travel |
345. | אוֹפַנַּיִים | ofanayim | bicycle | noun.pl | travel |
346. | מָטוֹס | matos | aeroplane | noun.m | travel |
347. | נְמַל תְּעוּפָה | nemal te'ufa | airport | noun.m | travel |
348. | כַּרְטִיס | kartis | ticket; card | noun.m | travel,city |
349. | מַפָּה | mapa | map | noun.f | travel |
350. | דֶּרֶךְ | derekh | way, road | noun.f | travel,city | pl=דְּרָכִים
351. | כְּבִישׁ | kvish | road | noun.m | travel,city |
352. | גֶּשֶׁר | gesher | bridge | noun.m | city |
353. | מָקוֹם | makom | place | noun.m | city,general | pl=מְקוֹמוֹת
354. | לָלֶכֶת | lalekhet | to go, to walk | verb | travel | root=ה-ל-כ;binyan=paal
355. | לָבוֹא | lavo | to come | verb | travel | root=ב-ו-א;binyan=paal
356. | לִנְסוֹעַ | linsoa | to travel, to ride | verb | travel | root=נ-ס-ע;binyan=paal
357. | לָטוּס | latus | to fly | verb | travel | root=ט-ו-ס;binyan=paal
358. | לָצֵאת | latzet | to go out, to leave | verb | travel | root=י-צ-א;binyan=paal
359. | לְהִיכָּנֵס | lehikanes | to enter, to go in | verb | travel | root=כ-נ-ס;binyan=nifal
360. | לַעֲבוֹר | la'avor | to pass, to cross; to move house | verb | travel | root=ע-ב-ר;binyan=paal
361. | לְהַגִּיעַ | lehagia | to arrive | verb | travel | root=נ-ג-ע;binyan=hifil
362. | לְחַפֵּשׂ | lekhapes | to look for | verb | general | root=ח-פ-ש;binyan=piel
363. | לִמְצוֹא | limtzo | to find | verb | general | root=מ-צ-א;binyan=paal

# ---------------------------------------------------------------- work and money
364. | עֲבוֹדָה | avoda | work, job | noun.f | work |
